Date,Price
01-11-2025,"25,468.50"
01-10-2025,"25,722.10"
01-09-2025,"24,611.10"
01-08-2025,"24,426.85"
01-07-2025,"24,768.35"
01-06-2025,"25,517.05"
01-05-2025,"24,750.70"
01-04-2025,"24,334.20"
01-03-2025,"23,519.35"
01-02-2025,"22,124.70"
01-01-2025,"23,508.40"
01-12-2024,"23,644.80"
01-11-2024,"24,131.10"
01-10-2024,"24,205.35"
01-09-2024,"25,810.85"
01-08-2024,"25,235.90"
01-07-2024,"24,951.15"
01-06-2024,"24,010.60"
01-05-2024,"22,530.70"
01-04-2024,"22,604.85"
01-03-2024,"22,326.90"
01-02-2024,"21,982.80"
01-01-2024,"21,725.70"
01-12-2023,"21,731.40"
01-11-2023,"20,133.15"
01-10-2023,"19,079.60"
01-09-2023,"19,638.30"
01-08-2023,"19,253.80"
01-07-2023,"19,753.80"
01-06-2023,"19,189.05"
01-05-2023,"18,534.40"
01-04-2023,"18,065.00"
01-03-2023,"17,359.75"
01-02-2023,"17,303.95"
01-01-2023,"17,662.15"
01-12-2022,"18,105.30"
01-11-2022,"18,758.35"
01-10-2022,"18,012.20"
01-09-2022,"17,094.35"
01-08-2022,"17,759.30"
01-07-2022,"17,158.25"
01-06-2022,"15,780.25"
01-05-2022,"16,584.55"
01-04-2022,"17,102.55"
01-03-2022,"17,464.75"
01-02-2022,"16,793.90"
01-01-2022,"17,339.85"
01-12-2021,"17,354.05"
01-11-2021,"16,983.20"
01-10-2021,"17,671.65"
01-09-2021,"17,618.15"
01-08-2021,"17,132.20"
01-07-2021,"15,763.05"
01-06-2021,"15,721.50"
01-05-2021,"15,582.80"
01-04-2021,"14,631.10"
01-03-2021,"14,690.70"
01-02-2021,"14,529.15"
01-01-2021,"13,634.60"
01-12-2020,"13,981.75"
01-11-2020,"12,968.95"
01-10-2020,"11,642.40"
01-09-2020,"11,247.55"
01-08-2020,"11,387.50"
01-07-2020,"11,073.45"
01-06-2020,"10,302.10"
01-05-2020,"9,580.30"
01-04-2020,"9,859.90"
01-03-2020,"8,597.75"
01-02-2020,"11,201.75"
01-01-2020,"11,962.10"
01-12-2019,"12,168.45"
01-11-2019,"12,056.05"
01-10-2019,"11,877.45"
01-09-2019,"11,474.45"
01-08-2019,"11,023.25"
01-07-2019,"11,118.00"
01-06-2019,"11,788.85"
01-05-2019,"11,922.80"
01-04-2019,"11,748.15"
01-03-2019,"11,623.90"
01-02-2019,"10,792.50"
01-01-2019,"10,830.95"
01-12-2018,"10,862.55"
01-11-2018,"10,876.75"
01-10-2018,"10,386.60"
01-09-2018,"10,930.45"
01-08-2018,"11,680.50"
01-07-2018,"11,356.50"
01-06-2018,"10,714.30"
01-05-2018,"10,736.15"
01-04-2018,"10,739.35"
01-03-2018,"10,113.70"
01-02-2018,"10,492.85"
01-01-2018,"11,027.70"
01-12-2017,"10,530.70"
01-11-2017,"10,226.55"
01-10-2017,"10,335.30"
01-09-2017,"9,788.60"
01-08-2017,"9,917.90"
01-07-2017,"10,077.10"
01-06-2017,"9,520.90"
01-05-2017,"9,621.25"
01-04-2017,"9,304.05"
01-03-2017,"9,173.75"
01-02-2017,"8,879.60"
01-01-2017,"8,561.30"
01-12-2016,"8,185.80"
01-11-2016,"8,224.50"
01-10-2016,"8,625.70"
01-09-2016,"8,611.15"
01-08-2016,"8,786.20"
01-07-2016,"8,638.50"
01-06-2016,"8,287.75"
01-05-2016,"8,160.10"
01-04-2016,"7,849.80"
01-03-2016,"7,738.40"
01-02-2016,"6,987.05"
01-01-2016,"7,563.55"
01-12-2015,"7,946.35"
01-11-2015,"7,935.25"
01-10-2015,"8,065.80"
01-09-2015,"7,948.90"
01-08-2015,"7,971.30"
01-07-2015,"8,532.85"
01-06-2015,"8,368.50"
01-05-2015,"8,433.65"
01-04-2015,"8,181.50"
01-03-2015,"8,491.00"
01-02-2015,"8,901.85"
01-01-2015,"8,808.90"
01-12-2014,"8,282.70"
01-11-2014,"8,588.25"
01-10-2014,"8,322.20"
01-09-2014,"7,964.80"
01-08-2014,"7,954.35"
01-07-2014,"7,721.30"
01-06-2014,"7,611.35"
01-05-2014,"7,229.95"
01-04-2014,"6,696.40"
01-03-2014,"6,704.20"
01-02-2014,"6,276.95"
01-01-2014,"6,089.50"
01-12-2013,"6,304.00"
01-11-2013,"6,176.10"
01-10-2013,"6,299.15"
01-09-2013,"5,735.30"
01-08-2013,"5,471.80"
01-07-2013,"5,742.00"
01-06-2013,"5,842.20"
01-05-2013,"5,985.95"
01-04-2013,"5,930.20"
01-03-2013,"5,682.55"
01-02-2013,"5,693.05"
01-01-2013,"6,034.75"
01-12-2012,"5,905.10"
01-11-2012,"5,879.85"
01-10-2012,"5,619.70"
01-09-2012,"5,703.30"
01-08-2012,"5,258.50"
01-07-2012,"5,229.00"
01-06-2012,"5,278.90"
01-05-2012,"4,924.25"
01-04-2012,"5,248.15"
01-03-2012,"5,295.55"
01-02-2012,"5,385.20"
01-01-2012,"5,199.25"
01-12-2011,"4,624.30"
01-11-2011,"4,832.05"
01-10-2011,"5,326.60"
01-09-2011,"4,943.25"
01-08-2011,"5,001.00"
01-07-2011,"5,482.00"
01-06-2011,"5,647.40"
01-05-2011,"5,560.15"
01-04-2011,"5,749.50"
01-03-2011,"5,833.75"
01-02-2011,"5,333.25"
01-01-2011,"5,505.90"
01-12-2010,"6,134.50"
01-11-2010,"5,862.70"
01-10-2010,"6,017.70"
01-09-2010,"6,029.95"
01-08-2010,"5,402.40"
01-07-2010,"5,367.60"
01-06-2010,"5,312.50"
01-05-2010,"5,086.30"
01-04-2010,"5,278.00"
01-03-2010,"5,249.10"
01-02-2010,"4,922.30"
01-01-2010,"4,882.05"
01-12-2009,"5,201.05"
01-11-2009,"5,032.70"
01-10-2009,"4,711.70"
01-09-2009,"5,083.95"
01-08-2009,"4,662.10"
01-07-2009,"4,636.45"
01-06-2009,"4,291.10"
01-05-2009,"4,448.95"
01-04-2009,"3,473.95"
01-03-2009,"3,020.95"
01-02-2009,"2,763.65"
01-01-2009,"2,874.80"
01-12-2008,"2,959.15"
01-11-2008,"2,755.10"
01-10-2008,"2,885.60"
01-09-2008,"3,921.20"
01-08-2008,"4,360.00"
01-07-2008,"4,332.95"
01-06-2008,"4,040.55"
01-05-2008,"4,870.10"
01-04-2008,"5,165.90"
01-03-2008,"4,734.50"
01-02-2008,"5,223.50"
01-01-2008,"5,137.45"
01-12-2007,"6,138.60"
01-11-2007,"5,762.75"
01-10-2007,"5,900.65"
01-09-2007,"5,021.35"
01-08-2007,"4,464.00"
01-07-2007,"4,528.85"
01-06-2007,"4,318.30"
01-05-2007,"4,295.80"
01-04-2007,"4,087.90"
01-03-2007,"3,821.55"
01-02-2007,"3,745.30"
01-01-2007,"4,082.70"
01-12-2006,"3,966.40"
01-11-2006,"3,954.50"
01-10-2006,"3,744.10"
01-09-2006,"3,588.40"
01-08-2006,"3,413.90"
01-07-2006,"3,143.20"
01-06-2006,"3,128.20"
01-05-2006,"3,071.05"
01-04-2006,"3,557.60"
01-03-2006,"3,402.55"
01-02-2006,"3,074.70"
01-01-2006,"3,001.10"
01-12-2005,"2,836.55"
01-11-2005,"2,652.25"
01-10-2005,"2,370.95"
01-09-2005,"2,601.40"
01-08-2005,"2,384.65"
01-07-2005,"2,312.30"
01-06-2005,"2,220.60"
01-05-2005,"2,087.55"
01-04-2005,"1,902.50"
01-03-2005,"2,035.65"
01-02-2005,"2,103.25"
01-01-2005,"2,057.60"
01-12-2004,"2,080.50"
01-11-2004,"1,958.80"
01-10-2004,"1,786.90"
01-09-2004,"1,745.50"
01-08-2004,"1,631.75"
01-07-2004,"1,632.30"
01-06-2004,"1,505.60"
01-05-2004,"1,483.60"
01-04-2004,"1,796.10"
01-03-2004,"1,771.90"
01-02-2004,"1,800.30"
01-01-2004,"1,809.75"
01-12-2003,"1,879.75"
01-11-2003,"1,615.25"
01-10-2003,"1,555.90"
01-09-2003,"1,417.10"
01-08-2003,"1,356.55"
01-07-2003,"1,185.85"
01-06-2003,"1,134.15"
01-05-2003,"1,006.80"
01-04-2003,934.05
01-03-2003,978.2
01-02-2003,"1,063.40"
01-01-2003,"1,041.85"
01-12-2002,"1,093.50"
01-11-2002,"1,050.15"
01-10-2002,951.4
01-09-2002,963.15
01-08-2002,"1,010.60"
01-07-2002,958.9
01-06-2002,"1,057.80"
01-05-2002,"1,028.80"
01-04-2002,"1,084.50"
01-03-2002,"1,129.55"
01-02-2002,"1,142.05"
01-01-2002,"1,075.40"
01-12-2001,"1,059.05"
01-11-2001,"1,067.15"
01-10-2001,971.9
01-09-2001,913.85
01-08-2001,"1,053.75"
01-07-2001,"1,072.85"
01-06-2001,"1,107.90"
01-05-2001,"1,167.90"
01-04-2001,"1,125.25"
01-03-2001,"1,148.20"
01-02-2001,"1,351.40"
01-01-2001,"1,371.70"
01-12-2000,"1,263.55"
01-11-2000,"1,268.15"
01-10-2000,"1,172.75"
01-09-2000,"1,271.65"
01-08-2000,"1,394.10"
01-07-2000,"1,332.85"
01-06-2000,"1,471.45"
01-05-2000,"1,380.45"
01-04-2000,"1,406.55"
01-03-2000,"1,528.45"
01-02-2000,"1,654.80"
01-01-2000,"1,546.20"
